42;Universidad Argentina John F. Kennedy;152 RIOBAMBA;UP;UK;Riobamba 152 2º piso;1037;4371-4009/ 4115-0706;;www.kennedy.edu.ar;;Departamento de Pedagogía/ Planificación y Desarrollo/ Psicología/ Servicio Social/ Sociología/ Historia/ Computación/ Idiomas/ Comercialización/ Antropología/ Biología/ Ciencia Política/ Demografía y Turismo/ Recursos Humanos/ Psicología Social;-58.393762408988884;-34.607490025200953
61;Universidad Austral;125 GARAY;UP;UA;Av. Juan de Garay 125;1063;5921-8000;5921-8000;www.austral.edu.ar;;Escuela y Laboratorio Ambiental / Inglés / Ciencias para la Familia / Derecho / Comunicación / Ingeniería / Rectorado;-58.366994037318811;-34.623844413289426
40;Universidad CAECE;866 AVENIDA DE MAYO;UP;CAECE;Av. de Mayo 866;1084;5217-7878;5217-7887;www.caece.edu.ar;;Departamento de Matemáticas / Sistemas / Posgrado;-58.378680862921776;-34.609048024859888
40;Universidad CAECE;516 JUNIN;UP;CAECE;Junín 516;1026;5252-2811 (C)52522800;5252-2811;www.caece.edu.ar;;Departamento de Ciencias Pedagógicas / Ciencias Biológicas / Administración / Humanidades / Computación / Rectorado;-58.397152394665071;-34.603063077160243
49;Universidad de Belgrano;1955 LACROZE FEDERICO;UP;UB;Federico Lacroze 1947/1955;1426;4511-4740/4576-3903/4511-4711;;www.ub.edu.ar;;Facultad de Tecnología Informática / Ciencias Agrarias / Estudios a Distancia y Educación Virtual;-58.441151823714264;-34.565827138047361
49;Universidad de Belgrano;1560 MARCELO T DE ALVEAR;UP;UB;Marcelo T. de Alvear 1560;1058;4812-6460 / 9680;;www.ub.edu.ar;;Escuela de Economía y Negocios Internacionales / Posgrado de Derecho;-58.389161771114999;-34.597324530927288
49;Universidad de Belgrano;1324 VILLANUEVA;UP;UB;Villanueva 1324;1426;4511-4700 / 4701 / 4735 / 4736;;www.ub.edu.ar;;Facultad de Ingeniería / Ciencias Exactas y Naturales / Ciencias de la Salud;-58.44283960773442;-34.565601824491445
49;Universidad de Belgrano;1837 ZABALA;UP;UB;Zabala 1837;1426;4788-5400;4576-3923;www.ub.edu.ar;;Facultad de Lenguas y Estudios Extranjeros / Arquitectura y Urbanismo / Humanidades / Estudios para Graduados / Ciencias Económicas / Derecho y Ciencias Sociales / Rectorado;-58.444147176684304;-34.564296645279754
63;Universidad de Ciencias Empresariales y Sociales;1237 PARAGUAY;UP;UCES;Paraguay 1237;1057;4815-3290/494/495;4813-5635;www.uces.edu.ar;;Facultad de Ciencias de la Salud / Rectorado;-58.384659039141503;-34.597920965193453
76;Universidad de Flores;274 NAZCA;UP;UFLO;Av. Nazca 274;1406;4611-4800/4613-3636;4611-4800;www.uflo.edu.ar;;Facultad de Ingeniería / Actividad Física y Deporte / Administración / Rectorado;-58.470785592032087;-34.628661488102573
76;Universidad de Flores;275 PEDERNERA;UP;UFLO;Pedernera 275;1416;4637-4500;4637-4500;www.uflo.edu.ar;;Facultad de Psicología / Derecho / Planeamiento Socioambiental;-58.462978800965573;-34.632599093446927
57;Universidad de la Marina Mercante;2258 RIVADAVIA;UP;UdeMM;Av. Rivadavia 2258;1034;4953-9000/4952-4700/4440/6767;4953-9000;www.udemm.edu.ar;;Facultad de Ingeniería / Administración y Economía / Humanidades y Ciencias Sociales / Rectorado;-58.398433204179476;-34.60983106214475
64;Universidad de Palermo;1050 MARIO BRAVO;UP;UP;Mario Bravo 1050;1175;5199-4500;4963-1560;www.palermo.edu;;Facultad de Diseño y Comunicación / Ciencias Económicas y Empresariales / Derecho / Rectorado;-58.416058701494912;-34.597278995958753
64;Universidad de Palermo;1302 MARIO BRAVO;UP;UP;Mario Bravo 1302;1175;5199-4500;4963-1560;www.palermo.edu;;Facultad de Ingeniería / Cátedra Unesco en Educación Superior;-58.41489952856432;-34.594573921936195
75;Universidad del CEMA;374 CORDOBA AV;UP;UCEMA;Av. Córdoba 374;1054;6314-2269 (C)6314-3000;6314-1654;www.cema.edu.ar;;Departamento de Finanzas / Dirección de Empresas / Economía / Investigaciones / Ciencias Políticas / Contabilidad / Rectorado / Maestría en Dirección Bancaria y Agronegocios / Maestría en Evaluación de Proyectos;-58.372406646099982;-34.598697988986785
75;Universidad del CEMA;775 RECONQUISTA;UP;UCEMA;Reconquista 775;1054;6314-2269 (C)6314-3000;6314-1654;www.cema.edu.ar;;Departamento de Matemática e Informática / Ingeniería;-58.372520970022244;-34.598793096654397
72;Universidad del Cine;330 GIUFFRA;UP;UCINE;Pasaje Giuffra 330/353;1064;(R)4300-1413/4300-1407;4300-0674;www.ucine.edu.ar;;Facultad de Cinematografía / Ciencias de la Comunicación / Rectorado;-58.370613904994762;-34.618004010093713
54;Universidad del Museo Social Argentino;1723 CORRIENTES AV;UP;UMSA;Av. Corrientes 1723;1042;4375-4601/4602/ 4372-5098/99;4375-4600;www.umsa.edu.ar;;Facultad de Ciencias Jurídicas y Políticas / Ciencias de la Recuperación Humana / Ciencias Psicológicas y Pedagógicas / Ciencias de la Interacción Social / Facultad de Lenguas Modernas / Rectorado;-58.391200185040695;-34.604175553017214
56;Universidad del Salvador;853 CALLAO;UP;USAL;Av. Callao 853;1023;4811-2270;4812-9853;www.salvador.edu.ar;;Facultad de Ciencias de la Educación y de la Comunicación Social / Escuela de Estudios Orientales;-58.392773289478839;-34.599132743146406
56;Universidad del Salvador;2441 YRIGOYEN HIPOLITO;UP;USAL;Hipólito Irigoyen  2441  2º  piso;1089;4952-1403/4951;4952-6471;www.salvador.edu.ar;;Facultad de Ciencias Sociales / Instituto de Prevención de la Drogadependencia;-58.40093970673923;-34.610786829828882
56;Universidad del Salvador;1314 ALVEAR MARCELO T;UP;USAL;Marcelo T. de Alvear  1312 / 1314;1058;4813-3400/9639;4813-9639;www.salvador.edu.ar;;Facultad de Psicología y Psicopedagogía / Ciencias Económicas / Ciencias de la Administración/ Ciencia y Tecnología;-58.38584943201942;-34.597170536838512
70;Universidad Favaloro;453 SOLIS;UP;FAVALORO;Solís 453;1078;4378-1169/1170/1161;4381-0323;www.favaloro.edu.ar;;Facultad de Posgrado y Rectorado;-58.39063712512548;-34.614324319633354
66;Universidad Maimónides;775 HIDALGO;UP;UM;Hidalgo 775;1405;4905-1199;4905-1162;www.maimonides.edu;;Facultad de Humanidades / Ciencias de la Salud / Escuela de Comunicación Multimedial /Escuela Internacional de Negocios;-58.440820916647397;-34.610503892918601
8;Universidad Nacional de General San Martín;145 PARANA;UN;UNGSM;Paraná 145;C1017;4754-7300// 4372-3289;4374-7007;www.ungsm.edu.ar;;Escuela de Política y Gobierno / Instituto de Altos Estudios Sociales;-58.38753771716059;-34.607147391558051
59;Universidad Notarial Argentina;1841 GUIDO;UP;;Guido 1841;1119;4804-4233/7743;4804-7743;;;Inst. de la Minoridad y del Derecho de Menores/ Historia del Notariado/ Derecho Tributario y Notarial/ Técnica Notarial/ Derecho Civil y Comercial/ Sist. e Informática Notarial/ Derecho Comparado y de Integración, Administrativo, Ambiental, Constituc;-58.390236000273553;-34.589541264108504
68;Universidad Torcuato Di Tella;2159 MIÑONES;UP;UTDT;Miñones 2159/77;1428;4784-0080;4784-0089;www.utdt.edu/;;Departamento de Economía / Ciencia Política y Estudios Internacionales / Matemática y Estadística / Historia / Escuela de Derecho / Gobierno / Negocios / Centro de Estudios de arquitectura Contemporánea;-58.445860925317994;-34.554711121824219
68;Universidad Torcuato Di Tella;1010 SAENZ VALIENTE JUAN PABLO;UP;UTDT;Sáenz Valiente 1010;C1428;5169 7300;;www.utdt.edu/;;Campus Alcorta;-58.447223323943469;-34.547886582552415
1;Universidad de Buenos Aires;841 RAMOS MEJIA;UN;UBA;Ramos Mejía 841;C1405;;;www.uba.ar;;Sede Dr. Ramos Mejía (CBC);-58.432177903687389;-34.605905128280789
1;Universidad de Buenos Aires;1029 SANTIAGO DEL ESTERO;UN;UBA;Santiago del Estero 1029;C1075;4305- 6087/6168;;www.uba.ar;www.sociales.uba.ar;Facultad de Ciencias Sociales - Sede Constitución;-58.384524683603736;-34.620223606592575
1;Universidad de Buenos Aires;2216 LAS HERAS AV;UN;UBA;Las Heras Av 2216;C1127;4514-3013;;www.uba.ar;www.ingenieria.uba.ar;Facultad de Ingeniería - Sede Las Heras;-58.396351770458104;-34.588418152142637
1;Universidad de Buenos Aires;3065 INDEPENDENCIA;UN;UBA;Independencia 3065;C1225;;;;www.psi.uba.ar;Facultad de Psicología - Sede Independencia;-58.408580979985437;-34.619663154861442
1;Universidad de Buenos Aires;295 BULNES;UN;UBA;Bulnes 295;C1176;;;;www.psi.uba.ar;Facultad de Psicología - Sede Bulnes;-58.418442590668697;-34.607318591168998
1;Universidad de Buenos Aires;CIUDAD UNIVERSITARIA - PABELLON  I;UN;UBA;Ciudad Universitaria - Pabellón  I;1428;4789 - 6000;4789-6098;www.uba.ar;www.cbc.uba.ar;Ciclo Básico Común;-58.439500328081643;-34.5447027070175
0;Universidad Tecnológica Nacional - Campus Mozart;Mozart 2300;UN;UTN;;1407;4638-8115/8838;;http://www.frba.utn.edu.ar/;;Campus;-58.467920672766468;-34.659767839004928
0;Universidad Tecnológica Nacional - Escuela de Posgrado;Castro Barros 91;UN;UTN;;1178;4983-8882;;http://www.frba.utn.edu.ar/;;Escuela de Posgrado;-58.420933889381523;-34.612801914538309
0;Universidad de Buenos Aires;Fernández de la Cruz Av;UN;UBA;;;;;www.uba.ar;;"Ciclo Básico Común - Sede ""Villa Lugano""";-58.464976060309802;-34.679102538809012
0;Universidad Nacional de las Artes - Sede Multimediales;679 DON PEDRO DE MENDOZA AV;IN;UNA;Don Pedro de Mendoza 679;1156;;;http://una.edu.ar/;http://multimedia.una.edu.ar/;Departamento de Artes Multimediales;-58.355700614928601;-34.62962504851091
